Alpha;Beta;Gamma;Eredmény;Ütközés;Min_Távolság;Lépésszám;Átlag_Sebesség
2;6;7;SIKER;False;0.151;204;0.48
2;6;8;SIKER;False;0.151;204;0.481
2;6;9;SIKER;False;0.151;204;0.482
2;6;10;SIKER;False;0.152;206;0.481
2;7;0;TIMEOUT;False;0.447;599;0.377
2;7;1;TIMEOUT;False;0.069;599;0.421
2;7;2;SIKER;False;0.15;219;0.442
2;7;3;SIKER;False;0.151;219;0.463
2;7;4;SIKER;False;0.15;214;0.462
2;7;5;SIKER;False;0.15;204;0.479
2;7;6;SIKER;False;0.151;205;0.477
2;7;7;SIKER;False;0.151;204;0.48
2;7;8;SIKER;False;0.151;204;0.481
2;7;9;SIKER;False;0.151;204;0.482
2;7;10;SIKER;False;0.152;206;0.481
2;8;0;TIMEOUT;False;0.447;599;0.377
2;8;1;TIMEOUT;False;0.069;599;0.421
2;8;2;SIKER;False;0.15;219;0.442
2;8;3;SIKER;False;0.151;219;0.463
2;8;4;SIKER;False;0.15;214;0.462
2;8;5;SIKER;False;0.15;204;0.479
2;8;6;SIKER;False;0.151;205;0.477
2;8;7;SIKER;False;0.151;204;0.48
2;8;8;SIKER;False;0.151;204;0.481
2;8;9;SIKER;False;0.151;204;0.482
2;8;10;SIKER;False;0.152;206;0.481
2;9;0;TIMEOUT;False;0.447;599;0.377
2;9;1;TIMEOUT;False;0.069;599;0.421
2;9;2;SIKER;False;0.15;219;0.442
2;9;3;SIKER;False;0.151;219;0.463
2;9;4;SIKER;False;0.15;214;0.462
2;9;5;SIKER;False;0.15;204;0.479
2;9;6;SIKER;False;0.151;205;0.477
2;9;7;SIKER;False;0.151;204;0.48
2;9;8;SIKER;False;0.151;204;0.481
2;9;9;SIKER;False;0.151;204;0.482
2;9;10;SIKER;False;0.152;206;0.481
2;10;0;TIMEOUT;False;0.447;599;0.377
2;10;1;TIMEOUT;False;0.069;599;0.421
2;10;2;SIKER;False;0.15;219;0.442
2;10;3;SIKER;False;0.151;219;0.463
2;10;4;SIKER;False;0.15;214;0.462
2;10;5;SIKER;False;0.15;204;0.479
2;10;6;SIKER;False;0.151;205;0.477
2;10;7;SIKER;False;0.151;204;0.48
2;10;8;SIKER;False;0.151;204;0.481
2;10;9;SIKER;False;0.151;204;0.482
2;10;10;SIKER;False;0.152;206;0.481
3;0;0;TIMEOUT;False;0.135;599;0.026
3;0;1;TIMEOUT;False;0.139;599;0.026
3;0;2;TIMEOUT;False;0.14;599;0.028
3;0;3;TIMEOUT;False;0.078;599;0.04
3;0;4;TIMEOUT;False;0.078;599;0.04
3;0;5;TIMEOUT;False;0.067;599;0.041
3;0;6;TIMEOUT;False;0.11;599;0.043
3;0;7;TIMEOUT;False;0.11;599;0.043
3;0;8;TIMEOUT;False;0.1;599;0.045
3;0;9;TIMEOUT;False;0.1;599;0.045
3;0;10;TIMEOUT;False;0.092;599;0.05
3;1;0;TIMEOUT;False;0.447;599;0.377
3;1;1;TIMEOUT;False;0.316;599;0.42
3;1;2;SIKER;False;0.153;394;0.439
3;1;3;SIKER;False;0.15;219;0.442
3;1;4;SIKER;False;0.151;222;0.461
3;1;5;SIKER;False;0.151;208;0.472
3;1;6;SIKER;False;0.15;214;0.462
3;1;7;SIKER;False;0.15;204;0.479
3;1;8;SIKER;False;0.15;205;0.477
3;1;9;SIKER;False;0.151;205;0.477
3;1;10;SIKER;False;0.151;205;0.478
3;2;0;TIMEOUT;False;0.447;599;0.377
3;2;1;TIMEOUT;False;0.316;599;0.42
3;2;2;SIKER;False;0.153;394;0.439
3;2;3;SIKER;False;0.15;219;0.442
3;2;4;SIKER;False;0.151;222;0.461
3;2;5;SIKER;False;0.151;208;0.472
3;2;6;SIKER;False;0.15;214;0.462
3;2;7;SIKER;False;0.15;204;0.479
3;2;8;SIKER;False;0.15;205;0.477
3;2;9;SIKER;False;0.151;205;0.477
3;2;10;SIKER;False;0.151;205;0.478
3;3;0;TIMEOUT;False;0.447;599;0.377
3;3;1;TIMEOUT;False;0.316;599;0.42
3;3;2;SIKER;False;0.153;394;0.439
3;3;3;SIKER;False;0.15;219;0.442
3;3;4;SIKER;False;0.151;222;0.461
3;3;5;SIKER;False;0.151;208;0.472
3;3;6;SIKER;False;0.15;214;0.462
3;3;7;SIKER;False;0.15;204;0.479
3;3;8;SIKER;False;0.15;205;0.477
3;3;9;SIKER;False;0.151;205;0.477
3;3;10;SIKER;False;0.151;205;0.478
3;4;0;TIMEOUT;False;0.447;599;0.377
3;4;1;TIMEOUT;False;0.316;599;0.42
3;4;2;SIKER;False;0.153;394;0.439
3;4;3;SIKER;False;0.15;219;0.442
3;4;4;SIKER;False;0.151;222;0.461
3;4;5;SIKER;False;0.151;208;0.472
3;4;6;SIKER;False;0.15;214;0.462
3;4;7;SIKER;False;0.15;204;0.479
